Date,Open,High,Low,Close,Adj Close,Volume,,,,,,,
17-09-2014,465.864014,468.174011,452.421997,457.334015,457.334015,21056800,,,,,,,
18-09-2014,456.859985,456.859985,413.104004,424.440002,424.440002,34483200,,,,,,,
19-09-2014,424.102997,427.834991,384.532013,394.79599,394.79599,37919700,,,,,,,
20-09-2014,394.673004,423.29599,389.882996,408.903992,408.903992,36863600,,,,,,,
21-09-2014,408.084991,412.425995,393.181,398.821014,398.821014,26580100,,,,,,,
22-09-2014,399.100006,406.915985,397.130005,402.152008,402.152008,24127600,,,,,,,
23-09-2014,402.09201,441.557007,396.196991,435.790985,435.790985,45099500,,,,,,,
24-09-2014,435.751007,436.112,421.131989,423.204987,423.204987,30627700,,,,,,,
25-09-2014,423.156006,423.519989,409.467987,411.574005,411.574005,26814400,,,,,,,
26-09-2014,411.428986,414.937988,400.009003,404.424988,404.424988,21460800,,,,,,,
27-09-2014,403.556,406.622986,397.372009,399.519989,399.519989,15029300,,,,,,,
28-09-2014,399.471008,401.016998,374.332001,377.181,377.181,23613300,,,,,,,
29-09-2014,376.928009,385.210999,372.23999,375.46701,375.46701,32497700,,,,,,,
30-09-2014,376.088013,390.97699,373.442993,386.944,386.944,34707300,,,,,,, 
1/10/2014,387.427002,391.378998,380.779999,383.61499,383.61499,26229400,,,,,,,
2/10/2014,383.988007,385.497009,372.946014,375.071991,375.071991,21777700,,,,,,,
3/10/2014,375.181,377.695007,357.859009,359.511993,359.511993,30901200,,,,,,,
4/10/2014,359.891998,364.487,325.885986,328.865997,328.865997,47236500,,,,,,,
5/10/2014,328.915985,341.800995,289.29599,320.51001,320.51001,83308096,,,,,,,
6/10/2014,320.389008,345.134003,302.559998,330.07901,330.07901,79011800,,,,,,,
7/10/2014,330.584015,339.247009,320.481995,336.187012,336.187012,49199900,,,,,,,
8/10/2014,336.115997,354.364014,327.187988,352.940002,352.940002,54736300,,,,,,,
9/10/2014,352.747986,382.726013,347.687012,365.026001,365.026001,83641104,,,,,,,
10/10/2014,364.687012,375.066986,352.963013,361.562012,361.562012,43665700,,,,,,,
11/10/2014,361.362,367.19101,355.950989,362.299011,362.299011,13345200,,,,,,,
12/10/2014,362.605988,379.433014,356.144012,378.549011,378.549011,17552800,,,,,,,
13-10-2014,377.92099,397.226013,368.897003,390.414001,390.414001,35221400,,,,,,,
14-10-2014,391.691986,411.697998,391.324005,400.869995,400.869995,38491500,,,,,,,
